chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9015,0.9009895290889045,0.9002833739300776,0.8998927021611758,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9502,0.9509332179319431,0.9493037899640016,0.9497076094300722,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6552,0.7159887931602855,0.6464221372679603,0.6321891400373201,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.8755,0.8806140870854964,0.8732183593808311,0.8741890011235581,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9022,0.9006926982064647,0.9008101085302795,0.9003838134927387,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.9557,0.9557005907031646,0.9554160946591788,0.9551286599174965,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.6385,0.7297777402569097,0.6277062898531983,0.5898159036005776,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.9076,0.9107464541235405,0.9062305570665815,0.9064032356589815,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.9094,0.9085788241679312,0.9082066094303842,0.9080783645270575,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.947,0.946638772799329,0.9466359736255223,0.9463262795208303,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
