chromosome,accuracy,precision,recall,f1_score,params
"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3618,0.36499735296752245,0.36442128637591853,0.3563722746416452,"{'activations': ['relu', 'relu'], 'batch_size': 32, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.392,0.40048269554456917,0.39309186539796254,0.38528624715170057,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.251,0.23571986638710124,0.2569393192941526,0.22101548339939742,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.1608,0.07407163366594674,0.1684236510941572,0.08799249023008676,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3646,0.3712275030203524,0.36770511052527527,0.3510639225408682,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3906,0.386112160422713,0.390468360663088,0.3800866466735261,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2662,0.2522474900662257,0.2715005355096117,0.2393010521764717,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.1452,0.07630234435997749,0.14581292800738604,0.06643552232939123,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3674,0.37364971914114714,0.3701819781329693,0.3573318916280917,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.2, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3774,0.3885483587602887,0.3796724106622708,0.3661824050483428,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2528,0.2546649508533787,0.2579978141831015,0.2179103489787106,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.0974,0.00974,0.1,0.017751047931474397,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3474,0.3498352821150016,0.3497349381461304,0.33675271263807116,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3678,0.3734750894931251,0.369678905843759,0.36570501236337344,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2606,0.2611962626294754,0.265992303908902,0.22340673182414705,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.0974,0.00974,0.1,0.017751047931474397,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3636,0.3653990978202747,0.36608540176813786,0.3501214018893524,"{'activations': ['relu', 'relu'], 'batch_size': 64, 'dropout_rate': 0.3, 'hidden_sizes': [256, 128], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}",0.3308,0.336260410839038,0.3337648597232184,0.32111597324878305,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}",0.2796,0.27123008417504385,0.2844088255507396,0.25155439501363974,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.001, 'optimizer': 'sgd'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}",0.2292,0.2411545234042794,0.23083471170627887,0.2150911874031541,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'adam'}"
"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}",0.3414,0.34100993549343855,0.3448294562891532,0.33068121064954004,"{'activations': ['tanh', 'tanh'], 'batch_size': 32, 'dropout_rate': 0.2, 'hidden_sizes': [128, 64], 'learning_rate': 0.01, 'optimizer': 'sgd'}"
