generation,best_f1,mean_f1,std_f1,elapsed_time
0,0.33573276673771824,0.1935446592368472,0.11342057016226914,167.1547360420227
1,0.35435953602857656,0.3183591377144399,0.04284937636875496,323.21674942970276
2,0.3572003124420646,0.3379492112709191,0.00956645734981387,474.46984362602234
3,0.3556053212163386,0.3381824097890734,0.009608008282044968,626.4193427562714
4,0.35029489622576104,0.33821616010374106,0.007772132053500536,777.424334526062
5,0.354253326682021,0.3406150092163602,0.008536559793965929,931.4361901283264
6,0.3656268726567392,0.35061698038121775,0.008523406042348396,1091.2424232959747
7,0.36090596868793057,0.3467725060698638,0.007445383446700555,1251.3679413795471
8,0.3559804309721225,0.343849636045209,0.008922286638081615,1412.010537147522
9,0.36190299338108234,0.35145807080552666,0.005655400053904403,1572.2088956832886
10,0.35727116301295003,0.34512183887845005,0.00886565617546102,1732.6053292751312
11,0.35357786371152794,0.3431062197376067,0.007802335521539597,1892.9506225585938
